,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
11,ChairOwn118,0.6024536008842687,0.06781081827357412,39 days 18:13:02,0 days 13:37:17,"[datetime.timedelta(days=1, seconds=14330), datetime.timedelta(seconds=10524), datetime.timedelta(seconds=1385), datetime.timedelta(seconds=616), datetime.timedelta(seconds=60148), datetime.timedelta(days=1, seconds=14482), datetime.timedelta(days=1, seconds=20530), datetime.timedelta(seconds=36501), datetime.timedelta(seconds=45261), datetime.timedelta(seconds=38532), datetime.timedelta(seconds=1276), datetime.timedelta(seconds=86035), datetime.timedelta(days=1, seconds=11067), datetime.timedelta(seconds=232)]"
12,baquish,0.33924590500587315,0.12218354160819823,4 days 05:18:08,28 days 19:07:11,"[datetime.timedelta(days=141, seconds=23736), datetime.timedelta(seconds=12), datetime.timedelta(seconds=13), datetime.timedelta(seconds=23), datetime.timedelta(days=105, seconds=58057), datetime.timedelta(days=43, seconds=28355), datetime.timedelta(seconds=397), datetime.timedelta(days=41, seconds=41034), datetime.timedelta(days=31, seconds=28892), datetime.timedelta(seconds=2327), datetime.timedelta(seconds=2821), datetime.timedelta(seconds=56), datetime.timedelta(days=38, seconds=67128), datetime.timedelta(days=1, seconds=19585)]"
13,PreviouslyBannedXD,0.7030620099303625,0.04809301955004533,101 days 08:02:11,8 days 04:37:58,"[datetime.timedelta(days=28, seconds=55466), datetime.timedelta(days=4, seconds=10480), datetime.timedelta(seconds=85), datetime.timedelta(days=81, seconds=77116), datetime.timedelta(seconds=764), datetime.timedelta(seconds=212), datetime.timedelta(seconds=263), datetime.timedelta(seconds=93), datetime.timedelta(seconds=233), datetime.timedelta(seconds=941), datetime.timedelta(seconds=363), datetime.timedelta(seconds=137), datetime.timedelta(seconds=36), datetime.timedelta(seconds=907)]"
14,Yisshyo,0.44061192922897713,0.009471062760955344,0 days 14:27:40,15 days 03:24:33,"[datetime.timedelta(days=26, seconds=25887), datetime.timedelta(days=43, seconds=7707), datetime.timedelta(seconds=8917), datetime.timedelta(seconds=80240), datetime.timedelta(days=6, seconds=84129), datetime.timedelta(seconds=2434), datetime.timedelta(seconds=425), datetime.timedelta(days=13, seconds=8976), datetime.timedelta(days=17, seconds=44291), datetime.timedelta(days=19, seconds=37781), datetime.timedelta(days=11, seconds=76574), datetime.timedelta(days=19, seconds=16696), datetime.timedelta(days=5, seconds=84257), datetime.timedelta(days=47, seconds=39110)]"
15,Downtown-Cover-2956,0.3804408121965966,0.07325714596469576,0 days 04:30:59,0 days 03:16:06,"[datetime.timedelta(seconds=23679), datetime.timedelta(seconds=53), datetime.timedelta(seconds=48134), datetime.timedelta(seconds=330), datetime.timedelta(seconds=8099), datetime.timedelta(seconds=6959), datetime.timedelta(seconds=973), datetime.timedelta(seconds=3393), datetime.timedelta(seconds=45), datetime.timedelta(seconds=179), datetime.timedelta(seconds=627), datetime.timedelta(seconds=18477), datetime.timedelta(seconds=50542), datetime.timedelta(seconds=3234)]"
16,iDontKnowBro2020,0.5833560891764129,0.029937859531491993,21 days 10:15:49,2 days 16:35:00,"[datetime.timedelta(days=5, seconds=52035), datetime.timedelta(days=1, seconds=12908), datetime.timedelta(days=2, seconds=20118), datetime.timedelta(seconds=194), datetime.timedelta(seconds=415), datetime.timedelta(seconds=80831), datetime.timedelta(days=5, seconds=59350), datetime.timedelta(seconds=148), datetime.timedelta(seconds=146), datetime.timedelta(seconds=1269), datetime.timedelta(seconds=147), datetime.timedelta(seconds=395), datetime.timedelta(days=22, seconds=2981), datetime.timedelta(seconds=61)]"
17,High_Ground_Sand,0.41653950929503863,0.12687555427352587,0 days 08:42:46,0 days 04:21:14,"[datetime.timedelta(seconds=49098), datetime.timedelta(seconds=26195), datetime.timedelta(seconds=3221), datetime.timedelta(seconds=1323), datetime.timedelta(seconds=26159), datetime.timedelta(seconds=35683), datetime.timedelta(seconds=53884), datetime.timedelta(seconds=13407), datetime.timedelta(seconds=3711), datetime.timedelta(seconds=448), datetime.timedelta(seconds=5679), datetime.timedelta(seconds=140), datetime.timedelta(seconds=189), datetime.timedelta(seconds=296)]"
18,absolute_zenologia,0.39757343524148375,0.1422446378118669,0 days 01:53:18,1 days 14:10:10,"[datetime.timedelta(days=1, seconds=84002), datetime.timedelta(seconds=313), datetime.timedelta(days=11, seconds=3443), datetime.timedelta(days=6, seconds=77043), datetime.timedelta(seconds=10391), datetime.timedelta(seconds=340), datetime.timedelta(seconds=559), datetime.timedelta(seconds=16), datetime.timedelta(seconds=48925), datetime.timedelta(seconds=549), datetime.timedelta(seconds=177), datetime.timedelta(seconds=88), datetime.timedelta(days=1, seconds=56235), datetime.timedelta(seconds=56)]"
19,GabrielNathaniel,0.370487857865161,0.2499399537104182,0 days 03:30:09,0 days 00:34:38,"[datetime.timedelta(seconds=760), datetime.timedelta(seconds=7883), datetime.timedelta(seconds=41), datetime.timedelta(seconds=3063), datetime.timedelta(seconds=337), datetime.timedelta(seconds=339), datetime.timedelta(seconds=258), datetime.timedelta(seconds=252), datetime.timedelta(seconds=10688), datetime.timedelta(seconds=2624), datetime.timedelta(seconds=2354), datetime.timedelta(seconds=86), datetime.timedelta(seconds=286), datetime.timedelta(seconds=122)]"
20,ArcticRedwood,0.5149341439012136,0.1832015496950286,0 days 03:59:51,0 days 05:03:45,"[datetime.timedelta(seconds=8014), datetime.timedelta(seconds=3435), datetime.timedelta(seconds=191), datetime.timedelta(seconds=5455), datetime.timedelta(seconds=9889), datetime.timedelta(seconds=34604), datetime.timedelta(days=1, seconds=19924), datetime.timedelta(seconds=1055), datetime.timedelta(seconds=32320), datetime.timedelta(seconds=1444), datetime.timedelta(seconds=45168), datetime.timedelta(seconds=180), datetime.timedelta(seconds=113), datetime.timedelta(seconds=6964)]"
21,Llama_Sandwich,0.6048564771697139,0.32860846707674984,0 days 06:19:41,0 days 05:40:22,"[datetime.timedelta(seconds=24410), datetime.timedelta(days=1, seconds=61275), datetime.timedelta(seconds=633), datetime.timedelta(seconds=10170), datetime.timedelta(seconds=1540), datetime.timedelta(seconds=18878), datetime.timedelta(seconds=3379), datetime.timedelta(seconds=19513), datetime.timedelta(seconds=2725), datetime.timedelta(seconds=42564), datetime.timedelta(seconds=13633), datetime.timedelta(seconds=145), datetime.timedelta(seconds=560), datetime.timedelta(seconds=80)]"
22,LieutenantW0rf,0.3809188713279104,0.03060329722162957,4 days 14:24:14,89 days 10:13:01,"[datetime.timedelta(seconds=4116), datetime.timedelta(seconds=1184), datetime.timedelta(seconds=79964), datetime.timedelta(days=867, seconds=69328), datetime.timedelta(days=329, seconds=83702), datetime.timedelta(days=14, seconds=7357), datetime.timedelta(days=5, seconds=63074), datetime.timedelta(days=5, seconds=3052), datetime.timedelta(days=8, seconds=82227), datetime.timedelta(days=3, seconds=59994), datetime.timedelta(seconds=37883), datetime.timedelta(days=1, seconds=59015), datetime.timedelta(days=13, seconds=17111), datetime.timedelta(seconds=33333)]"
23,too-legit-to-quit,0.5084231622335336,0.20093272305869808,0 days 04:40:16,0 days 20:13:55,"[datetime.timedelta(seconds=43679), datetime.timedelta(seconds=38967), datetime.timedelta(seconds=40357), datetime.timedelta(seconds=51501), datetime.timedelta(days=3, seconds=46651), datetime.timedelta(days=1, seconds=80972), datetime.timedelta(days=1, seconds=44553), datetime.timedelta(seconds=2318), datetime.timedelta(seconds=71396), datetime.timedelta(seconds=57927), datetime.timedelta(seconds=17274), datetime.timedelta(seconds=57), datetime.timedelta(seconds=63372), datetime.timedelta(seconds=28669)]"
24,Micky-OMick,0.45089661565096867,0.2955875083765325,1 days 14:37:35,2 days 15:03:35,"[datetime.timedelta(seconds=231), datetime.timedelta(days=15, seconds=82972), datetime.timedelta(days=4, seconds=8123), datetime.timedelta(days=8, seconds=58549), datetime.timedelta(days=2, seconds=25409), datetime.timedelta(days=2, seconds=670), datetime.timedelta(seconds=3249), datetime.timedelta(seconds=58885), datetime.timedelta(seconds=18853), datetime.timedelta(days=2, seconds=60098), datetime.timedelta(seconds=4329), datetime.timedelta(seconds=953), datetime.timedelta(seconds=4093), datetime.timedelta(seconds=599)]"
