,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
10,Setsuna85,0.3254272862725988,0.13409328275204946,0 days 03:18:41,3 days 15:16:04,"[datetime.timedelta(seconds=1719), datetime.timedelta(seconds=44), datetime.timedelta(seconds=98), datetime.timedelta(days=27, seconds=56681), datetime.timedelta(seconds=648), datetime.timedelta(days=2, seconds=50255), datetime.timedelta(days=1, seconds=26670), datetime.timedelta(days=5, seconds=19926), datetime.timedelta(days=8, seconds=84624), datetime.timedelta(seconds=35151), datetime.timedelta(seconds=358), datetime.timedelta(days=1, seconds=48010), datetime.timedelta(days=1, seconds=37354), datetime.timedelta(days=1, seconds=62352)]"
11,mlime18,0.41391820059516404,0.13580548029082518,0 days 09:49:57,3 days 00:55:04,"[datetime.timedelta(days=6, seconds=75940), datetime.timedelta(days=12, seconds=10195), datetime.timedelta(days=8, seconds=11779), datetime.timedelta(days=4, seconds=59111), datetime.timedelta(days=2, seconds=22005), datetime.timedelta(seconds=71383), datetime.timedelta(seconds=16797), datetime.timedelta(seconds=73705), datetime.timedelta(seconds=284), datetime.timedelta(days=1, seconds=3106), datetime.timedelta(seconds=10342), datetime.timedelta(days=4, seconds=81960), datetime.timedelta(seconds=1127), datetime.timedelta(seconds=40525)]"
12,Taekwondista,0.4085626740274442,0.14423014127338926,0 days 02:26:18,1 days 04:08:10,"[datetime.timedelta(seconds=27604), datetime.timedelta(seconds=10436), datetime.timedelta(seconds=72038), datetime.timedelta(days=6, seconds=13665), datetime.timedelta(days=4, seconds=56868), datetime.timedelta(seconds=6228), datetime.timedelta(seconds=7206), datetime.timedelta(seconds=12819), datetime.timedelta(seconds=72617), datetime.timedelta(seconds=7176), datetime.timedelta(seconds=21182), datetime.timedelta(seconds=86321), datetime.timedelta(seconds=35277), datetime.timedelta(days=1, seconds=38229)]"
13,MWF123,0.36486440919564234,0.10893493336237346,2 days 10:58:24,0 days 15:56:52,"[datetime.timedelta(seconds=44818), datetime.timedelta(seconds=1715), datetime.timedelta(days=1, seconds=79829), datetime.timedelta(seconds=76877), datetime.timedelta(days=1, seconds=50578), datetime.timedelta(seconds=47815), datetime.timedelta(seconds=31199), datetime.timedelta(seconds=11450), datetime.timedelta(seconds=29937), datetime.timedelta(seconds=78546), datetime.timedelta(seconds=76125), datetime.timedelta(seconds=37), datetime.timedelta(days=1, seconds=7457), datetime.timedelta(seconds=8185)]"
14,xworfx,0.3334442508690773,0.0365761416265741,2 days 12:41:12,0 days 17:27:18,"[datetime.timedelta(days=1, seconds=8882), datetime.timedelta(seconds=2798), datetime.timedelta(seconds=47873), datetime.timedelta(seconds=9956), datetime.timedelta(seconds=27669), datetime.timedelta(seconds=71247), datetime.timedelta(days=1, seconds=69305), datetime.timedelta(days=2, seconds=31862), datetime.timedelta(seconds=62938), datetime.timedelta(seconds=156), datetime.timedelta(seconds=6973), datetime.timedelta(days=1, seconds=85312), datetime.timedelta(seconds=2161), datetime.timedelta(seconds=20605)]"
15,Zetin24-55,0.6502692486680499,0.15236528390475237,0 days 14:37:19,0 days 05:22:39,"[datetime.timedelta(seconds=14693), datetime.timedelta(seconds=76844), datetime.timedelta(seconds=58978), datetime.timedelta(seconds=167), datetime.timedelta(seconds=82), datetime.timedelta(seconds=887), datetime.timedelta(seconds=360), datetime.timedelta(seconds=93), datetime.timedelta(seconds=134), datetime.timedelta(seconds=683), datetime.timedelta(days=1, seconds=16616), datetime.timedelta(seconds=455), datetime.timedelta(seconds=14488), datetime.timedelta(seconds=140)]"
16,Slappamedoo,0.4598471998215604,0.376907802252875,0 days 11:29:07,0 days 03:44:37,"[datetime.timedelta(seconds=564), datetime.timedelta(seconds=2024), datetime.timedelta(seconds=3109), datetime.timedelta(days=1, seconds=17063), datetime.timedelta(seconds=1325), datetime.timedelta(seconds=7157), datetime.timedelta(seconds=631), datetime.timedelta(seconds=54918), datetime.timedelta(seconds=13834), datetime.timedelta(seconds=555), datetime.timedelta(seconds=280), datetime.timedelta(seconds=612), datetime.timedelta(seconds=54), datetime.timedelta(seconds=151)]"
17,DagothWSB,0.6480137869530657,0.004905221964387844,0 days 01:00:16,0 days 01:21:54,"[datetime.timedelta(seconds=71), datetime.timedelta(seconds=140), datetime.timedelta(seconds=3674), datetime.timedelta(seconds=164), datetime.timedelta(seconds=76), datetime.timedelta(seconds=231), datetime.timedelta(seconds=136), datetime.timedelta(seconds=143), datetime.timedelta(seconds=115), datetime.timedelta(seconds=167), datetime.timedelta(seconds=213), datetime.timedelta(seconds=60196), datetime.timedelta(seconds=1317), datetime.timedelta(seconds=2158)]"
18,league_of_otters,0.5078321194118588,0.3803670445883957,0 days 03:03:47,11 days 23:57:51,"[datetime.timedelta(days=2, seconds=79839), datetime.timedelta(days=12, seconds=6492), datetime.timedelta(days=75, seconds=26537), datetime.timedelta(days=33, seconds=56467), datetime.timedelta(seconds=270), datetime.timedelta(seconds=97), datetime.timedelta(days=1, seconds=131), datetime.timedelta(days=4, seconds=1482), datetime.timedelta(days=3, seconds=82618), datetime.timedelta(days=10, seconds=1251), datetime.timedelta(seconds=16812), datetime.timedelta(days=7, seconds=78004), datetime.timedelta(days=2, seconds=78686), datetime.timedelta(days=14, seconds=1505)]"
19,Spiffiestspaceman,0.4351421272031286,0.22424955097958446,0 days 02:16:15,2 days 05:23:51,"[datetime.timedelta(days=3, seconds=38207), datetime.timedelta(seconds=69116), datetime.timedelta(seconds=67712), datetime.timedelta(seconds=21688), datetime.timedelta(days=1, seconds=67055), datetime.timedelta(days=1, seconds=27536), datetime.timedelta(days=7, seconds=58552), datetime.timedelta(days=1, seconds=35242), datetime.timedelta(seconds=42753), datetime.timedelta(days=8, seconds=13273), datetime.timedelta(days=1, seconds=73984), datetime.timedelta(seconds=47982), datetime.timedelta(days=1, seconds=75813), datetime.timedelta(seconds=65117)]"
